Shimadzu measurement
Filename
761Labor_aprilis_14_73Mg.dat
Identifier
2mN/s meres
Date 2016:4:14
Time 11:36
Indentsize=0 [æm]
 Time [s]         Load [mN]       Displ [æm] 
*****************************************************************

      0.050002      0.001594     -0.001664
      0.100004      0.009742     -0.008778
      0.149976     -0.004287     -0.011762
      0.199978     -0.001044     -0.009015
      0.249981      0.075119     -0.001172
      0.299983      0.243764      0.011075
      0.349984      0.492592      0.024477
      0.399987      0.805650      0.037883
      0.449989      1.191163      0.052755
      0.499992      1.628459      0.068520
      0.549994      2.130058      0.085273
      0.599996      2.670001      0.101998
      0.649998      3.247503      0.119187
      0.700000      3.863081      0.136549
      0.750002      4.511708      0.154433
      0.800005      5.201675      0.173337
      0.849977      5.925185      0.192730
      0.899978      6.654471      0.213419
      0.949980      7.410928      0.234847
      0.999983      8.180241      0.255963
      1.049985      8.972111      0.277287
      1.099988      9.783673      0.298615
      1.149990     10.611127      0.320251
      1.199991     11.447389      0.341922
      1.249994     12.306838      0.363805
      1.299996     13.163961      0.386003
      1.349998     14.034251      0.408178
      1.400001     14.919442      0.429783
      1.450003     15.791188      0.451243
      1.500004     16.690507      0.472936
      1.549976     17.591449      0.494292
      1.599979     18.498123      0.515160
      1.649981     19.406294      0.535772
      1.699983     20.323137      0.556398
      1.749986     21.240460      0.576915
      1.799987     22.163098      0.597394
      1.849990     23.088689      0.617412
      1.899992     24.023651      0.636833
      1.949994     24.956671      0.656508
      1.999997     25.880008      0.675986
      2.049999     26.809890      0.694798
      2.100000     27.741390      0.713011
      2.150002     28.685332      0.730928
      2.200004     29.617279      0.748640
      2.249976     30.556740      0.765924
      2.299978     31.495031      0.783311
      2.349981     32.436539      0.801217
      2.399983     33.374230      0.819103
      2.449984     34.320693      0.836604
      2.499987     35.270777      0.853453
      2.549989     36.216187      0.869778
      2.599992     37.159220      0.885934
      2.649994     38.112932      0.902368
      2.699996     39.073813      0.918683
      2.749998     40.021005      0.934588
      2.800000     40.973577      0.950551
      2.850002     41.921835      0.966015
      2.900005     42.878419      0.980727
      2.949977     43.840664      0.995494
      2.999978     44.788473      1.010065
      3.049980     45.745262      1.024584
      3.099983     46.695485      1.038932
      3.149985     47.656889      1.053249
      3.199988     48.616758      1.067599
      3.249990     49.572805      1.081735
      3.299991     50.521139      1.095556
      3.349994     51.478401      1.110071
      3.399996     52.425387      1.124842
      3.449998     53.377774      1.139236
      3.500001     54.330139      1.152800
      3.550003     55.283093      1.166168
      3.600004     56.240241      1.179663
      3.649976     57.199332      1.193457
      3.699979     58.156510      1.207337
      3.749981     59.111965      1.221171
      3.799983     60.053663      1.234721
      3.849986     61.021433      1.248136
      3.899987     61.970551      1.261553
      3.949990     62.927909      1.274848
      3.999992     63.874982      1.287730
      4.049994     64.823173      1.300605
      4.099997     65.779087      1.313414
      4.149999     66.729742      1.325979
      4.200000     67.685431      1.338569
      4.250003     68.640768      1.351244
      4.299975     69.595787      1.364115
      4.349977     70.553572      1.376859
      4.399979     71.508964      1.389062
      4.449982     72.474409      1.400898
      4.499983     73.442189      1.412955
      4.549985     74.403523      1.425210
      4.599988     75.363330      1.437338
      4.649990     76.312607      1.448924
