Shimadzu measurement
Filename
754Labor_aprilis_14_125Mg.dat
Identifier
2mN/s meres
Date 2016:4:14
Time 10:52
Indentsize=0 [æm]
 Time [s]         Load [mN]       Displ [æm] 
      8.400002    147.894660      3.179453
      8.450004    148.854729      3.194105
      8.500006    149.812176      3.209367
      8.550009    150.769094      3.224507
      8.599979    151.715771      3.239598
      8.649982    152.667270      3.254096
      8.699984    153.624328      3.267570
      8.749987    154.573572      3.280552
      8.799989    155.530432      3.292419
      8.849991    156.486823      3.303404
      8.899993    157.434856      3.313840
      8.949995    158.394289      3.324148
      8.999997    159.348112      3.335074
      9.050000    160.310924      3.346432
      9.100002    161.269009      3.358303
      9.150005    162.236268      3.371062
      9.200006    163.198355      3.384193
      9.250008    164.156397      3.397597
      9.299980    165.113242      3.411676
      9.349982    166.071449      3.425079
      9.399985    167.029662      3.437996
      9.449987    167.994595      3.450476
      9.499989    168.952757      3.462502
      9.549991    169.911540      3.473996
      9.599993    170.872103      3.486111
      9.649996    171.834267      3.498174
      9.699998    172.789327      3.510557
      9.749999    173.745929      3.522617
      9.800002    174.710632      3.534203
      9.850004    175.669198      3.545730
      9.900007    176.623461      3.557507
      9.950008    177.595826      3.569633
      9.999980    178.550911      3.581462
     10.049982    179.512418      3.593512
     10.099985    180.468718      3.605638
     10.149986    181.428266      3.618444
     10.199988    182.401114      3.631678
     10.249991    183.365180      3.644261
     10.299993    184.235891      3.656745
     10.349995    185.020752      3.669079
     10.399997    185.719191      3.681461
     10.449999    186.350229      3.693032
     10.500002    186.919993      3.703874
     10.550004    187.424847      3.714242
     10.600006    187.889591      3.723573
     10.650009    188.310302      3.731971
     10.699979    188.673683      3.739773
     10.749982    189.014154      3.746612
     10.799984    189.316306      3.752767
     10.849987    189.590683      3.758245
     10.899989    189.843116      3.763359
     10.949991    190.055047      3.768083
     10.999993    190.254330      3.772335
     11.049995    190.430022      3.776406
     11.099997    190.583873      3.780375
     11.150000    190.730273      3.783581
     11.200002    190.860813      3.786405
     11.250005    190.975857      3.789130
     11.300006    191.081227      3.791644
     11.350008    191.166295      3.793723
     11.399980    191.254453      3.796082
     11.449982    191.329523      3.798084
     11.499985    191.399527      3.800007
     11.549987    191.458258      3.801738
     11.599989    191.512337      3.802869
     11.649991    191.564670      3.804252
     11.699993    191.606887      3.805681
     11.749996    191.646713      3.807211
     11.799998    191.680726      3.808405
     11.850000    191.714389      3.809479
     11.900002    191.745906      3.810507
     11.950004    191.773051      3.811371
     12.000007    191.798703      3.812271
     12.050009    191.814465      3.813142
     12.099981    191.842078      3.813925
     12.149982    191.863878      3.814570
     12.199985    191.878006      3.815394
     12.249987    191.899265      3.816319
     12.299989    191.912295      3.817029
     12.349992    191.931346      3.817729
     12.399994    191.841069      3.818298
     12.449995    191.670706      3.818688
     12.499998    191.422774      3.819101
     12.550000    191.098926      3.819288
     12.600003    190.710415      3.819580
     12.650005    190.267980      3.819720
     12.700007    189.766028      3.819784
     12.750009    189.222716      3.819904
     12.799980    188.629975      3.819584
     12.849983    188.002512      3.819235
     12.899985    187.345020      3.819044
     12.949988    186.648906      3.818993
     12.999990    185.938173      3.818459
     13.049991    185.204519      3.818589
     13.099994    184.449013      3.818035
     13.149996    183.659193      3.817536
     13.199998    182.856190      3.817087
     13.250001    182.044375      3.817049
     13.300003    181.218526      3.816770
     13.350005    180.372110      3.816276
     13.400007    179.517561      3.815891
     13.449979    178.655081      3.815546
     13.499981    177.781192      3.815296
     13.549983    176.893982      3.814765
     13.599985    175.996615      3.814349
     13.649987    175.102313      3.813913
     13.699990    174.203446      3.813033
     13.749992    173.288873      3.812363
     13.799994    172.375424      3.811638
     13.849997    171.452610      3.811107
     13.899998    170.526862      3.810629
     13.950000    169.602134      3.809711
     14.000003    168.678325      3.809007
     14.050005    167.730318      3.808251
     14.100008    166.795933      3.807693
     14.149979    165.865874      3.807312
     14.199981    164.931164      3.806787
     14.249983    163.983111      3.806436
     14.299986    163.040751      3.805937
     14.349988    162.100462      3.805427
     14.399990    161.149221      3.804541
     14.449993    160.213146      3.803926
     14.499994    159.266917      3.803557
     14.549996    158.313991      3.802918
     14.599999    157.366635      3.802405
     14.650001    156.417577      3.802126
     14.700003    155.472482      3.801936
     14.750006    154.527900      3.801460
     14.800007    153.575846      3.800971
     14.849979    152.625002      3.800652
     14.899981    151.673416      3.800243
     14.949984    150.730317      3.799937
     14.999986    149.778987      3.799660
     15.049989    148.822081      3.799107
     15.099990    147.869312      3.798364
     15.149992    146.905006      3.797635
     15.199995    145.956563      3.797223
     15.249997    145.006527      3.796669
     15.299998    144.048344      3.795743
     15.350001    143.084049      3.795154
     15.400003    142.139888      3.794135
     15.450005    141.188824      3.793340
     15.500007    140.241922      3.792503
     15.549979    139.279235      3.791750
     15.599981    138.319432      3.790949
     15.649983    137.368327      3.790046
     15.699986    136.415285      3.789416
     15.749987    135.456838      3.788483
     15.799990    134.499630      3.787582
     15.849992    133.547199      3.786894
     15.899994    132.595405      3.786396
     15.949997    131.638081      3.785765
     15.999998    130.684325      3.785075
     16.050000    129.733780      3.784759
     16.100003    128.778800      3.784108
     16.150005    127.825323      3.783401
     16.200008    126.866484      3.782703
     16.249979    125.902820      3.782014
     16.299981    124.952512      3.781516
     16.349983    123.995306      3.781068
     16.399986    123.042876      3.780176
     16.449988    122.099628      3.779495
     16.499990    121.144502      3.778334
     16.549993    120.191504      3.777593
     16.599994    119.226992      3.776805
     16.649996    118.274092      3.776034
     16.699999    117.313940      3.775341
     16.750001    116.361302      3.774594
     16.800003    115.405659      3.773862
     16.850006    114.443040      3.773080
     16.900007    113.482688      3.772194
     16.949979    112.533530      3.771396
     16.999981    111.577358      3.770556
     17.049984    110.620366      3.769495
     17.099986    109.677285      3.768662
     17.149989    108.726582      3.767851
     17.199990    107.775122      3.767121
     17.249992    106.813826      3.766403
     17.299995    105.861379      3.765696
     17.349997    104.908959      3.764999
     17.399999    103.957786      3.764371
     17.450001    103.002852      3.763989
     17.500003    102.048806      3.763585
     17.550006    101.101051      3.763587
     17.600008    100.146752      3.763345
     17.649980     99.200601      3.762821
     17.699982     98.250187      3.762167
     17.749983     97.301429      3.761579
     17.799986     96.337072      3.761293
     17.849988     95.383699      3.760548
     17.899991     94.429838      3.759694
     17.949993     93.472484      3.758681
     17.999995     92.524194      3.757831
     18.049997     91.570634      3.757065
     18.099999     90.614772      3.756438
     18.150001     89.652566      3.755934
     18.200004     88.696858      3.755297
     18.250006     87.746997      3.754602
     18.300009     86.787141      3.753793
     18.349979     85.827443      3.753371
     18.399982     84.880706      3.752746
     18.449984     83.922440      3.752001
     18.499987     82.966616      3.751330
     18.549989     82.008716      3.750849
     18.599991     81.055052      3.750232
     18.649993     80.105811      3.749555
     18.699995     79.151394      3.748885
     18.749997     78.194151      3.748160
     18.800000     77.235585      3.747263
     18.850002     76.274608      3.746639
     18.900003     75.321836      3.746138
     18.950006     74.364853      3.745382
     19.000008     73.410793      3.744519
     19.049980     72.453871      3.743620
     19.099982     71.500477      3.742872
     19.149985     70.549036      3.741955
     19.199986     69.590200      3.741129
     19.249989     68.631420      3.740264
     19.299991     67.681237      3.739180
     19.349993     66.722310      3.738082
     19.399996     65.775047      3.736972
     19.449998     64.813255      3.735729
     19.499999     63.862192      3.734672
     19.550002     62.904305      3.733170
     19.600004     61.950042      3.732186
     19.650007     60.994769      3.731177
     19.700009     60.033703      3.730269
     19.749981     59.077799      3.729331
     19.799982     58.125322      3.728424
     19.849984     57.163110      3.727426
     19.899987     56.209838      3.726100
     19.949989     55.261559      3.724601
     19.999992     54.303127      3.722947
     20.049994     53.346542      3.721459
     20.099995     52.384906      3.719753
     20.149998     51.426659      3.718157
     20.200000     50.470851      3.716354
     20.250002     49.515408      3.714853
     20.300005     48.560293      3.713259
     20.350007     47.613407      3.711213
     20.400009     46.661722      3.709677
     20.449980     45.705716      3.707868
     20.499983     44.742770      3.705751
     20.549985     43.781513      3.704151
     20.599988     42.836424      3.702223
     20.649989     41.882083      3.700610
     20.699991     40.927349      3.698974
     20.749993     39.974093      3.697320
     20.799995     39.027660      3.695525
     20.849997     38.071499      3.693300
     20.900000     37.108413      3.691053
     20.950002     36.159237      3.688970
     21.000004     35.209763      3.687156
     21.050006     34.245371      3.685096
     21.100008     33.288305      3.683181
