Shimadzu measurement
Filename
748Labor_aprilis_14_Acel.dat
Identifier
2mN/s meres
Date 2016:4:14
Time 10:17
Indentsize=0 [æm]
 Time [s]         Load [mN]       Displ [æm] 
      8.400003    147.910869      2.022900
      8.450005    148.869197      2.027475
      8.500006    149.826908      2.032081
      8.550009    150.788337      2.036837
      8.600010    151.747619      2.041361
      8.650013    152.706189      2.046166
      8.699984    153.661066      2.051650
      8.749987    154.618113      2.058111
      8.799989    155.580166      2.065025
      8.849990    156.523528      2.071796
      8.899993    157.481810      2.078379
      8.949995    158.440700      2.084731
      8.999998    159.397696      2.090692
      9.050000    160.351158      2.096484
      9.100002    161.303879      2.101818
      9.150004    162.263258      2.106925
      9.200006    163.215812      2.111460
      9.250008    164.173820      2.115846
      9.300011    165.124530      2.120099
      9.349983    166.091255      2.124232
      9.399985    167.051030      2.128440
      9.449986    168.012485      2.132288
      9.499989    168.966297      2.135813
      9.549991    169.922386      2.138985
      9.599994    170.887848      2.142389
      9.649996    171.850759      2.145880
      9.699998    172.803440      2.148960
      9.750000    173.764614      2.152160
      9.800002    174.721835      2.155712
      9.850004    175.689537      2.159335
      9.900007    176.649582      2.162840
      9.950009    177.607007      2.166728
     10.000011    178.573061      2.171142
     10.050013    179.534675      2.176091
     10.099985    180.497174      2.181522
     10.149987    181.467796      2.186776
     10.199989    182.427416      2.192115
     10.249992    183.396666      2.196920
     10.299993    184.255563      2.201488
     10.349996    185.037116      2.205722
     10.399998    185.741124      2.209594
     10.450000    186.379004      2.212895
     10.500003    186.947602      2.216171
     10.550005    187.458730      2.219242
     10.600006    187.908369      2.222128
     10.650009    188.323421      2.224786
     10.700011    188.704292      2.227178
     10.749983    189.039140      2.229454
     10.799985    189.338063      2.231440
     10.849988    189.611366      2.233167
     10.899989    189.847573      2.235027
     10.949991    190.075418      2.236822
     10.999994    190.271323      2.238438
     11.049996    190.453131      2.240015
     11.099999    190.613706      2.241251
     11.150001    190.755782      2.242363
     11.200002    190.881820      2.243486
     11.250005    191.004409      2.244252
     11.300007    191.114740      2.245125
     11.350009    191.207933      2.245728
     11.400012    191.290587      2.246209
     11.449984    191.364975      2.246826
     11.499985    191.428873      2.247258
     11.549987    191.495536      2.247831
     11.599990    191.545767      2.248224
     11.649992    191.586703      2.248822
     11.699995    191.631479      2.249421
     11.749997    191.677882      2.249838
     11.799998    191.717813      2.250275
     11.850001    191.751920      2.250362
     11.900003    191.780786      2.251052
     11.950005    191.811647      2.251489
     12.000008    191.841864      2.251943
     12.050009    191.871501      2.252536
     12.100011    191.897564      2.253191
     12.149983    191.917968      2.253902
     12.199986    191.941215      2.254543
     12.249988    191.949930      2.254936
     12.299990    191.971202      2.255412
     12.349992    191.994008      2.255657
     12.399994    191.904059      2.255573
     12.449997    191.729109      2.255436
     12.499999    191.475827      2.255374
     12.550001    191.150826      2.255318
     12.600004    190.755785      2.255206
     12.650005    190.310524      2.254679
     12.700007    189.806028      2.254082
     12.750010    189.257987      2.253362
     12.800012    188.672585      2.252835
     12.849984    188.047455      2.252118
     12.899986    187.400608      2.251533
     12.949988    186.709802      2.250701
     12.999990    185.988587      2.249892
     13.049992    185.232071      2.249163
     13.099995    184.474911      2.248569
     13.149997    183.694588      2.248033
     13.200000    182.898303      2.247247
     13.250001    182.081546      2.246599
     13.300003    181.258573      2.245956
     13.350006    180.406812      2.245194
     13.400008    179.551725      2.244508
     13.450010    178.687540      2.243707
     13.500012    177.817610      2.242865
     13.549984    176.934573      2.241923
     13.599986    176.045845      2.240954
     13.649988    175.148331      2.240021
     13.699991    174.243522      2.239120
     13.749993    173.333977      2.238125
     13.800025    172.425053      2.236926
     13.849997    171.507533      2.236029
     13.899998    170.593262      2.235161
     13.950001    169.662385      2.234257
     14.000003    168.731820      2.233444
     14.050005    167.800317      2.232407
     14.100008    166.861864      2.231474
     14.150009    165.938521      2.230512
     14.200011    164.999477      2.229585
     14.249983    164.058512      2.228751
     14.299986    163.111544      2.227695
     14.349988    162.168328      2.226745
     14.399990    161.221167      2.225829
     14.449992    160.265570      2.224699
     14.499994    159.310927      2.223682
     14.549997    158.363857      2.222522
     14.599999    157.408342      2.221418
     14.650001    156.455604      2.220363
     14.700004    155.505366      2.219291
     14.750005    154.562259      2.218083
     14.800007    153.603597      2.216812
     14.850010    152.655352      2.215424
     14.900012    151.703662      2.214053
     14.949984    150.748264      2.212819
     14.999986    149.789526      2.211586
     15.049988    148.836329      2.210355
     15.099990    147.885677      2.209246
     15.149992    146.930601      2.208004
     15.199995    145.980089      2.206948
     15.249997    145.025140      2.205936
     15.300000    144.072300      2.204842
     15.350001    143.124411      2.203675
     15.400003    142.161446      2.202624
     15.450006    141.212988      2.201434
     15.500008    140.261719      2.199997
     15.550010    139.301816      2.198704
     15.600013    138.359166      2.197540
     15.649984    137.394202      2.196431
     15.699986    136.437843      2.195128
     15.749988    135.483124      2.193955
     15.799991    134.538426      2.192595
     15.849993    133.585658      2.191431
     15.899994    132.625626      2.190262
     15.949997    131.672484      2.188966
     15.999999    130.713947      2.187555
     16.050002    129.760930      2.186285
     16.100004    128.804336      2.184715
     16.150006    127.848186      2.183119
     16.200008    126.896096      2.181621
     16.250010    125.940337      2.180151
     16.300012    124.983717      2.178950
     16.349984    124.023270      2.177564
     16.399987    123.070365      2.175890
     16.449989    122.119366      2.174260
     16.499990    121.172523      2.172794
     16.549993    120.225148      2.171047
     16.599995    119.270580      2.169475
     16.649998    118.313811      2.167816
     16.700000    117.370320      2.166139
     16.750002    116.408262      2.164692
     16.800004    115.455128      2.163511
     16.850006    114.494156      2.162082
     16.900008    113.542000      2.160613
     16.950011    112.587401      2.159168
     16.999983    111.625722      2.157869
     17.049985    110.673540      2.156516
     17.099986    109.718308      2.155176
     17.149989    108.764603      2.153848
     17.199991    107.815935      2.152592
     17.249993    106.857152      2.151156
     17.299996    105.902083      2.149742
     17.349997    104.941201      2.148164
     17.400000    103.982412      2.146561
     17.450002    103.034661      2.145179
     17.500004    102.077314      2.143935
     17.550007    101.115602      2.142694
     17.600009    100.162170      2.141149
     17.650010     99.202760      2.139759
     17.700013     98.253842      2.138203
     17.749985     97.296053      2.136497
     17.799987     96.343100      2.134779
     17.849989     95.382901      2.133110
     17.899992     94.422286      2.131242
     17.949993     93.472892      2.129500
     17.999995     92.521389      2.127871
     18.049998     91.564938      2.126344
     18.100000     90.619292      2.124420
     18.150003     89.660176      2.122322
     18.200005     88.705418      2.120496
     18.250006     87.748478      2.118607
     18.300009     86.792626      2.116725
     18.350011     85.846299      2.114969
     18.399983     84.889622      2.113146
     18.449985     83.937058      2.111443
     18.499988     82.984535      2.109544
     18.549989     82.034489      2.107714
     18.599991     81.074466      2.105883
     18.649994     80.121943      2.104174
     18.699996     79.165183      2.102453
     18.749999     78.211934      2.100660
     18.800001     77.255743      2.098680
     18.850002     76.301785      2.096776
     18.900005     75.339462      2.094818
     18.950007     74.383038      2.092873
     19.000009     73.427650      2.091001
     19.050012     72.465870      2.088949
     19.099983     71.506274      2.086736
     19.149985     70.551692      2.084562
     19.199986     69.602847      2.082300
     19.249989     68.656721      2.079959
     19.299991     67.705719      2.077912
     19.349993     66.743003      2.075888
     19.399996     65.787447      2.073455
     19.449998     64.827347      2.070961
     19.500000     63.874145      2.068655
     19.550002     62.917995      2.065908
     19.600004     61.956750      2.063314
     19.650007     61.004348      2.060552
     19.700009     60.049528      2.057700
     19.750010     59.098026      2.054584
     19.800013     58.142796      2.051596
     19.849985     57.186652      2.048236
     19.899987     56.226633      2.044540
     19.949989     55.269841      2.040726
     19.999992     54.314733      2.036744
     20.049993     53.372127      2.032733
     20.099995     52.421851      2.028146
     20.149998     51.458568      2.023407
     20.200000     50.501281      2.018288
     20.250003     49.549999      2.012949
     20.300005     48.593747      2.007228
     20.350006     47.639123      2.001224
     20.400009     46.677422      1.994905
     20.450011     45.722168      1.988364
     20.499983     44.760509      1.981622
     20.549985     43.802851      1.974639
     20.599988     42.840860      1.967316
     20.649989     41.889007      1.959628
     20.699991     40.936513      1.950877
     20.749994     39.979169      1.941841
     20.799996     39.030277      1.932366
     20.849999     38.075566      1.922435
     20.900001     37.125992      1.911849
     20.950002     36.169445      1.900735
     21.000005     35.217609      1.888901
     21.050007     34.263910      1.876053
     21.100009     33.311584      1.861987
     21.150012     32.350730      1.846825
     21.199983     31.392576      1.830006
     21.249985     30.436853      1.812305
     21.299987     29.481485      1.793079
     21.349990     28.533762      1.772418
     21.399992     27.571557      1.750405
     21.449994     26.621343      1.726809
     21.499996     25.672154      1.702216
     21.549998     24.714123      1.676053
     21.600001     23.760951      1.648357
     21.650003     22.800556      1.619157
     21.700005     21.851360      1.589460
     21.750008     20.904919      1.558887
     21.800009     19.949972      1.526793
     21.850011     18.997744      1.493942
     21.899983     18.038199      1.459981
     21.949986     17.082443      1.425083
     21.999988     16.131319      1.388974
     22.049990     15.171547      1.352204
     22.099992     14.219249      1.314228
     22.149994     13.263913      1.274862
     22.199996     12.312556      1.235221
     22.249999     11.356846      1.195210
     22.300001     10.395388      1.155111
     22.350004      9.442183      1.113712
     22.400005      8.506783      1.068518
     22.450007      7.566044      0.988414
     22.500010      6.634539      0.822142
     22.550012      5.871259      0.571360
     22.599984      5.280134      0.301222
     22.649986      4.848830      0.111138
     22.699988      4.538784      0.058961
     22.749990      4.362893      0.070902
     22.799992      4.304690      0.109847
     22.849995      4.341420      0.158325
     22.899997      4.464200      0.208792
     22.949999      4.664425      0.258057
     23.000001      4.945948      0.304716
     23.050003      5.296366      0.348844
     23.100006      5.706348      0.389414
     23.150008      6.179703      0.427454
     23.200010      6.693004      0.464679
     23.250012      7.255685      0.500868
     23.299984      7.854263      0.535941
     23.349986      8.484536      0.569337
     23.399988      9.159816      0.602019
     23.449991      9.860344      0.633202
     23.499993     10.586644      0.663281
     23.549994     11.324545      0.692733
     23.599997     12.094859      0.721192
     23.649999     12.886409      0.749186
     23.700002     13.687306      0.776700
     23.750004     14.503941      0.803904
     23.800006     15.336569      0.830951
     23.850008     16.176879      0.857735
     23.900010     17.025322      0.884343
     23.950012     17.891461      0.911464
     23.999984     18.762541      0.940451
