Shimadzu measurement
Filename
743Labor_aprilis_14_Ni.dat
Identifier
2mN/s meres
Date 2016:4:14
Time 9:50
Indentsize=0 [æm]
 Time [s]         Load [mN]       Displ [æm] 
      8.449973    148.910735      1.381047
      8.499976    149.869864      1.386182
      8.549978    150.829517      1.391354
      8.599979    151.788421      1.396679
      8.649982    152.747871      1.402144
      8.699984    153.704152      1.407306
      8.749987    154.664903      1.412806
      8.799989    155.618692      1.418001
      8.849991    156.568046      1.423286
      8.899993    157.526226      1.428592
      8.949995    158.486246      1.433795
      8.999997    159.437545      1.439149
      9.050000    160.393814      1.444334
      9.100002    161.350892      1.449549
      9.149974    162.306259      1.454549
      9.199975    163.263136      1.459658
      9.249978    164.216490      1.464745
      9.299980    165.177659      1.469934
      9.349982    166.137318      1.475214
      9.399985    167.099889      1.480271
      9.449987    168.065082      1.485311
      9.499989    169.021036      1.490458
      9.549991    169.982716      1.495211
      9.599993    170.936729      1.500039
      9.649996    171.890558      1.504811
      9.699998    172.853986      1.509533
      9.749999    173.812625      1.514394
      9.800002    174.774889      1.519256
      9.849974    175.731260      1.524243
      9.899976    176.693314      1.529219
      9.949978    177.654989      1.534308
      9.999981    178.612051      1.539132
     10.049982    179.574726      1.543902
     10.099984    180.535740      1.548438
     10.149987    181.490376      1.552948
     10.199989    182.456971      1.557556
     10.249992    183.325686      1.561826
     10.299994    184.099595      1.566095
     10.349995    184.802217      1.570243
     10.399998    185.437018      1.574160
     10.450000    186.005287      1.577929
     10.500002    186.522833      1.581443
     10.549974    186.987403      1.584605
     10.599977    187.403686      1.587696
     10.649978    187.774067      1.590599
     10.699980    188.116566      1.592968
     10.749983    188.416880      1.595223
     10.799985    188.696319      1.597312
     10.849988    188.949644      1.599437
     10.899990    189.175196      1.601655
     10.949991    189.376971      1.603407
     10.999994    189.553686      1.605227
     11.049996    189.717003      1.606988
     11.099998    189.862156      1.608451
     11.150001    189.989132      1.609828
     11.199973    190.107683      1.611373
     11.249974    190.210717      1.612763
     11.299976    190.308330      1.614015
     11.349979    190.388247      1.615385
     11.399981    190.466886      1.616557
     11.449983    190.538883      1.617856
     11.499985    190.604900      1.618964
     11.549987    190.657602      1.619901
     11.599990    190.703812      1.620927
     11.649992    190.754557      1.621850
     11.699994    190.791073      1.622742
     11.749997    190.833702      1.623545
     11.799998    190.870237      1.624206
     11.850000    190.895795      1.624923
     11.900003    190.916355      1.625630
     11.949975    190.932418      1.626266
     11.999977    190.959082      1.626961
     12.049979    190.975755      1.627280
     12.099981    190.991981      1.627751
     12.149983    191.011468      1.627992
     12.199985    191.025344      1.628453
     12.249988    191.037832      1.628746
     12.299990    191.041747      1.629192
     12.349993    190.954938      1.629411
     12.399994    190.774268      1.629364
     12.449996    190.518280      1.629565
     12.499999    190.196337      1.629625
     12.550001    189.810152      1.629800
     12.599973    189.373472      1.630019
     12.649975    188.877919      1.630033
     12.699977    188.329992      1.630107
     12.749979    187.735537      1.630051
     12.799981    187.125453      1.629818
     12.849984    186.458578      1.629791
     12.899986    185.777823      1.629583
     12.950018    185.055279      1.629092
     12.999990    184.320759      1.628710
     13.049991    183.544333      1.628428
     13.099994    182.763151      1.628174
     13.149996    181.967312      1.627701
     13.199998    181.152179      1.627336
     13.250001    180.320290      1.627008
     13.299973    179.474544      1.626469
     13.349974    178.619986      1.625922
     13.399976    177.764824      1.625430
     13.449979    176.883482      1.624805
     13.499981    176.011537      1.623997
     13.549983    175.124246      1.623393
     13.599985    174.224365      1.622727
     13.649987    173.328411      1.622066
     13.699990    172.412187      1.621593
     13.749992    171.496031      1.620741
     13.799994    170.573223      1.620401
     13.849997    169.651142      1.619851
     13.899998    168.725442      1.618990
     13.950000    167.797096      1.618337
     14.000003    166.859043      1.617566
     14.049975    165.925073      1.616811
     14.099977    164.981960      1.616315
     14.149979    164.041603      1.615502
     14.199981    163.108001      1.614648
     14.249983    162.166439      1.614002
     14.299985    161.221985      1.613359
     14.349988    160.279813      1.612476
     14.399990    159.339083      1.611864
     14.449993    158.397820      1.611191
     14.499994    157.453636      1.610646
     14.549996    156.506823      1.610156
     14.599999    155.560085      1.609471
     14.650001    154.603650      1.608976
     14.699973    153.651914      1.608042
     14.749975    152.703797      1.607446
     14.799977    151.741848      1.606849
     14.849979    150.789423      1.606189
     14.899981    149.844348      1.605473
     14.949984    148.890020      1.604524
     14.999986    147.938349      1.603730
     15.049988    146.982357      1.602650
     15.099990    146.027358      1.601861
     15.149992    145.076915      1.601212
     15.199995    144.120196      1.600627
     15.249997    143.166985      1.600162
     15.299999    142.208386      1.599500
     15.350001    141.251040      1.599087
     15.399973    140.296654      1.598410
     15.449975    139.343101      1.597617
     15.499977    138.390297      1.596965
     15.549980    137.442440      1.596256
     15.599982    136.488659      1.595740
     15.649983    135.535040      1.595154
     15.699986    134.575463      1.594443
     15.749988    133.622732      1.593681
     15.799991    132.662122      1.592873
     15.849993    131.709071      1.592146
     15.899995    130.747563      1.591064
     15.949997    129.797367      1.589969
     15.999999    128.840870      1.589166
     16.050001    127.889079      1.588260
     16.099973    126.929926      1.587384
     16.149976    125.976355      1.586657
     16.199978    125.029639      1.586063
     16.249979    124.070782      1.585346
     16.299982    123.118087      1.584517
     16.349984    122.155069      1.583588
     16.399986    121.199851      1.582874
     16.449989    120.243107      1.582109
     16.499991    119.295366      1.581665
     16.549993    118.336807      1.580960
     16.599995    117.381939      1.580326
     16.649997    116.427342      1.579938
     16.700000    115.469326      1.579528
     16.750002    114.513116      1.579098
     16.799973    113.559752      1.578588
     16.849975    112.607119      1.578130
     16.899978    111.647819      1.577657
     16.949980    110.698998      1.576925
     16.999982    109.741298      1.576145
     17.049985    108.784762      1.575504
     17.099986    107.824391      1.574622
     17.149988    106.870944      1.573889
     17.199991    105.915184      1.573290
     17.249993    104.962226      1.572568
     17.299996    104.012398      1.571918
     17.349998    103.055013      1.571029
     17.399999    102.099981      1.570655
     17.450002    101.142795      1.570197
     17.499974    100.186721      1.569601
     17.549976     99.229818      1.569126
     17.599978     98.268505      1.568576
     17.649981     97.314822      1.567837
     17.699982     96.361291      1.567172
     17.749984     95.407286      1.566513
     17.799987     94.452244      1.565981
     17.849989     93.500543      1.565318
     17.899992     92.554288      1.564539
     17.949994     91.597067      1.563655
     17.999995     90.644013      1.562859
     18.049998     89.681893      1.562020
     18.100000     88.726262      1.561082
     18.150002     87.771588      1.560178
     18.199974     86.819607      1.559485
     18.249976     85.865777      1.558618
     18.299978     84.898685      1.557532
     18.349979     83.942852      1.556433
     18.399982     82.987996      1.555566
     18.449984     82.032189      1.554663
     18.499986     81.081019      1.553606
     18.549989     80.133411      1.552595
     18.599991     79.174362      1.551562
     18.649993     78.212339      1.550449
     18.699995     77.257406      1.549326
     18.749997     76.309464      1.548254
     18.800000     75.354996      1.547289
     18.850002     74.397096      1.546420
     18.899973     73.445263      1.545639
     18.949975     72.482411      1.544691
     18.999978     71.513914      1.543778
     19.049980     70.561088      1.542833
     19.099982     69.607108      1.541861
     19.149985     68.658803      1.540742
     19.199986     67.702178      1.539735
     19.249988     66.744167      1.538645
     19.299991     65.790404      1.537664
     19.349993     64.834359      1.536599
     19.399996     63.876261      1.535579
     19.449998     62.928522      1.534416
     19.499999     61.974237      1.533187
     19.550002     61.012840      1.532081
     19.599974     60.048704      1.530902
     19.649976     59.094311      1.529720
     19.699978     58.130375      1.528533
     19.749981     57.176771      1.527526
     19.799982     56.219650      1.526070
     19.849984     55.262414      1.524760
     19.899987     54.309347      1.523398
     19.949989     53.355761      1.521745
     19.999992     52.401706      1.520257
     20.049994     51.445399      1.518735
     20.099995     50.495000      1.517060
     20.149998     49.546256      1.515369
     20.200000     48.595338      1.513969
     20.250002     47.645517      1.512465
     20.299974     46.690579      1.510868
     20.349977     45.736528      1.508942
     20.399978     44.779004      1.507086
     20.449980     43.826899      1.505416
     20.499983     42.872347      1.503425
     20.549985     41.916813      1.501572
     20.599987     40.959175      1.499416
     20.649989     40.001474      1.497353
     20.699991     39.044327      1.495375
     20.749994     38.094392      1.493289
     20.799996     37.142403      1.491229
     20.849998     36.184904      1.489008
     20.900001     35.234041      1.486521
     20.950002     34.280608      1.483978
     20.999974     33.324860      1.481750
     21.049976     32.373742      1.479501
     21.099979     31.416417      1.477599
     21.149981     30.460219      1.475826
     21.199983     29.503813      1.473681
     21.249985     28.553936      1.471506
     21.299987     27.605050      1.469427
     21.349989     26.639357      1.467128
     21.399992     25.690276      1.464937
     21.449994     24.738446      1.462477
     21.499997     23.777427      1.460263
     21.549998     22.815462      1.458026
     21.600000     21.858750      1.455708
     21.650003     20.908597      1.453439
     21.699975     19.949697      1.450969
     21.749977     19.001847      1.448441
     21.799979     18.055397      1.445738
     21.849981     17.096779      1.442940
     21.899983     16.142469      1.440360
     21.949985     15.187763      1.437672
     21.999988     14.235753      1.435131
