Shimadzu measurement
Filename
741Labor_aprilis_14_Cu.dat
Identifier
2mN/s meres
Date 2016:4:14
Time 9:39
Indentsize=0 [æm]
 Time [s]         Load [mN]       Displ [æm] 
      8.400002    148.085043      1.863460
      8.450003    149.048674      1.871070
      8.500006    150.002003      1.878468
      8.550008    150.955826      1.885980
      8.600010    151.911313      1.893230
      8.650013    152.870131      1.900853
      8.700015    153.825231      1.908630
      8.750016    154.787972      1.916422
      8.800019    155.739280      1.924351
      8.850021    156.706542      1.931975
      8.899993    157.663749      1.939691
      8.949995    158.627776      1.947246
      8.999998    159.575968      1.954534
      9.049999    160.528220      1.961764
      9.100001    161.479852      1.968882
      9.150004    162.440692      1.976264
      9.200006    163.390900      1.983092
      9.250009    164.355341      1.990335
      9.300011    165.321605      1.997586
      9.350012    166.279746      2.004784
      9.400015    167.233627      2.012055
      9.450017    168.189167      2.019271
      9.500019    169.144370      2.026314
      9.550022    170.103541      2.033386
      9.599993    171.068115      2.040544
      9.649995    172.022292      2.047718
      9.699997    172.977488      2.054785
      9.750000    173.945810      2.062245
      9.800002    174.916177      2.069629
      9.850004    175.866413      2.077069
      9.900006    176.827218      2.084131
      9.950008    177.789601      2.091586
     10.000011    178.749740      2.098356
     10.050013    179.715186      2.105547
     10.100015    180.671979      2.112386
     10.150018    181.636854      2.119517
     10.200019    182.601679      2.126485
     10.250021    183.475514      2.133488
     10.299993    184.246707      2.139913
     10.349996    184.950546      2.145635
     10.399998    185.573625      2.151211
     10.450000    186.149045      2.156291
     10.500002    186.663261      2.160924
     10.550004    187.122393      2.165765
     10.600007    187.534391      2.170122
     10.650009    187.904579      2.174044
     10.700011    188.240800      2.177939
     10.750014    188.542788      2.181567
     10.800015    188.811526      2.185015
     10.850017    189.060715      2.188241
     10.900020    189.283153      2.191632
     10.949992    189.485789      2.194379
     10.999994    189.662668      2.196912
     11.049995    189.824301      2.199253
     11.099998    189.967329      2.201726
     11.150000    190.097275      2.204257
     11.200002    190.216058      2.206413
     11.250005    190.317469      2.208841
     11.300007    190.408128      2.211027
     11.350009    190.489111      2.212933
     11.400011    190.569931      2.214832
     11.450013    190.639617      2.216113
     11.500016    190.702334      2.217450
     11.550018    190.750234      2.218958
     11.600019    190.803721      2.220498
     11.650022    190.850638      2.222311
     11.699993    190.892253      2.223516
     11.749995    190.931538      2.224906
     11.799997    190.963232      2.226156
     11.850000    190.989315      2.227343
     11.900002    191.011569      2.228350
     11.950004    191.041363      2.229317
     12.000006    191.064516      2.230615
     12.050008    191.081692      2.231905
     12.100011    191.102032      2.233127
     12.150013    191.116677      2.234654
     12.200015    191.129857      2.235601
     12.250018    191.136226      2.236698
     12.300019    191.151113      2.237624
     12.350021    191.073568      2.238457
     12.399993    190.895744      2.239451
     12.449996    190.648420      2.240590
     12.499998    190.325729      2.241310
     12.550000    189.934598      2.241775
     12.600002    189.489195      2.242193
     12.650004    188.988233      2.242325
     12.700007    188.443982      2.242566
     12.750009    187.864433      2.242905
     12.800011    187.239688      2.242661
     12.850014    186.582202      2.242564
     12.900015    185.900130      2.242354
     12.950017    185.181894      2.242165
     13.000020    184.443317      2.241506
     13.049992    183.677278      2.240914
     13.099994    182.892016      2.240197
     13.149996    182.093116      2.239492
     13.199998    181.274006      2.239039
     13.250000    180.450747      2.238449
     13.300002    179.594455      2.237979
     13.350005    178.737122      2.237373
     13.400007    177.869695      2.236889
     13.450009    176.991963      2.236514
     13.500011    176.108619      2.236116
     13.550013    175.223276      2.236062
     13.600016    174.327590      2.235404
     13.650018    173.419541      2.234811
     13.700020    172.515016      2.233972
     13.750022    171.601454      2.233401
     13.799994    170.681591      2.233070
     13.849996    169.763381      2.232649
     13.899998    168.837503      2.232027
     13.950001    167.907776      2.231162
     14.000003    166.988012      2.230444
     14.050004    166.058294      2.229676
     14.100007    165.119618      2.228985
     14.150009    164.177152      2.228118
     14.200012    163.233716      2.227339
     14.250014    162.291849      2.226820
     14.300016    161.344680      2.226048
     14.350018    160.399453      2.225598
     14.400020    159.460246      2.225009
     14.449992    158.513640      2.224540
     14.499994    157.565258      2.223691
     14.549997    156.620159      2.222927
     14.599999    155.671913      2.222178
     14.650000    154.723275      2.221382
     14.700003    153.779168      2.220849
     14.750005    152.825710      2.220491
     14.800008    151.874823      2.219864
     14.850010    150.925029      2.219238
     14.900011    149.960959      2.218919
     14.950014    149.019443      2.218449
     15.000016    148.067707      2.217965
     15.050018    147.114097      2.217529
     15.100021    146.163684      2.216710
     15.149993    145.211265      2.216156
     15.199994    144.260702      2.215474
     15.249996    143.301434      2.215226
     15.299999    142.354474      2.214637
     15.350001    141.406993      2.214046
     15.400003    140.450499      2.213758
     15.450006    139.493218      2.213255
     15.500007    138.537058      2.212863
     15.550010    137.582519      2.212327
     15.600012    136.630049      2.211417
     15.650014    135.681882      2.210660
     15.700017    134.727212      2.209612
     15.750019    133.775234      2.208791
     15.800020    132.823237      2.207930
     15.849992    131.868782      2.207094
     15.899995    130.915778      2.206341
     15.949997    129.963468      2.205664
     15.999999    129.014224      2.204810
     16.050002    128.061636      2.203981
     16.100003    127.107260      2.203113
     16.150005    126.153716      2.202270
     16.200008    125.197868      2.201207
     16.250010    124.247272      2.200188
     16.300013    123.286753      2.199516
     16.350015    122.333784      2.198789
     16.400016    121.372961      2.197830
     16.450019    120.426431      2.197210
     16.500021    119.467131      2.196530
     16.549993    118.502442      2.195919
     16.599995    117.545718      2.195552
     16.649997    116.598607      2.194549
     16.699999    115.644276      2.193648
