   0        0 000
   1    30508 000
   2    30710 000
   3    30741 000
   4    30455 000
   5    30695 000
   6    30706 000
   7    30462 000
   8    30815 000
   9    30738 000
  10    30784 000
  11    30940 000
  12    30724 000
  13    30699 000
  14    30699 000
  15    30909 000
  16    30957 000
  17    30930 000
  18    30538 000
  19    30636 000
  20    30757 000
  21    30629 000
  22    30456 000
  23    30825 000
  24    30649 000
  25    31258 000
  26    30962 000
  27    30566 000
  28    30899 000
  29    30860 000
  30    30855 000
  31    31014 000
  32    30906 000
  33    30476 000
  34    30435 000
  35    30498 000
  36    30913 000
  37    30893 000
  38    30510 000
  39    30532 000
  40    30574 000
  41    30622 000
  42    30434 000
  43    30892 000
  44    30926 000
  45    30385 000
  46    30663 000
  47    30949 000
  48    30460 000
  49    30589 000
  50    30258 000
  51    30406 000
  52    30030 000
  53    30179 000
  54    29959 000
  55    30257 000
  56    30418 000
  57    29810 000
  58    29678 000
  59    29568 000
  60    29431 000
  61    28843 000
  62    28715 000
  63    28364 000
  64    27560 000
  65    27461 000
  66    27021 000
  67    26910 000
  68    26775 000
  69    27205 000
  70    26699 000
  71    27246 000
  72    27268 000
  73    27567 000
  74    28320 000
  75    28450 000
  76    28772 000
  77    28989 000
  78    29058 000
  79    29437 000
  80    29602 000
  81    29777 000
  82    30200 000
  83    29885 000
  84    29969 000
  85    30355 000
  86    30430 000
  87    29988 000
  88    30393 000
  89    30220 000
  90    30703 000
  91    30397 000
  92    30598 000
  93    30876 000
  94    30814 000
  95    30456 000
  96    30612 000
  97    30591 000
  98    30562 000
  99    30760 000
 100    30507 000
 101    30413 000
 102    30803 000
 103    30556 000
 104    30528 000
 105    30336 000
 106    30702 000
 107    30717 000
 108    30468 000
 109    30631 000
 110    30809 000
 111    30636 000
 112    31015 000
 113    30750 000
 114    30464 000
 115    30656 000
 116    30602 000
 117    30655 000
 118    30399 000
 119    30615 000
 120    30947 000
 121    30565 000
 122    30679 000
 123    30846 000
 124    30711 000
 125    30526 000
 126    30850 000
 127    30492 000
 128    30466 000
 129    30293 000
 130    30386 000
 131    30398 000
 132    29971 000
 133    30073 000
 134    29937 000
 135    30111 000
 136    29790 000
