Shimadzu measurement
Filename
749Labor_aprilis_14_Acel.dat
Identifier
2mN/s meres
Date 2016:4:14
Time 10:18
Indentsize=0 [æm]
 Time [s]         Load [mN]       Displ [æm] 
      8.450004    148.864662      2.057267
      8.500006    149.828219      2.061947
      8.550008    150.786975      2.066525
      8.600011    151.738357      2.071316
      8.650013    152.695310      2.075995
      8.700016    153.651174      2.080510
      8.750017    154.606668      2.085429
      8.799989    155.563660      2.089917
      8.849991    156.522000      2.094627
      8.899994    157.479112      2.099111
      8.949996    158.445495      2.103635
      8.999998    159.401911      2.108438
      9.050000    160.358512      2.113067
      9.100002    161.314669      2.117720
      9.150004    162.272868      2.122214
      9.200007    163.228633      2.126503
      9.250009    164.188920      2.130850
      9.300011    165.149005      2.135435
      9.350013    166.108298      2.139927
      9.400015    167.065047      2.144398
      9.450018    168.028662      2.148482
      9.499989    168.977093      2.152951
      9.549992    169.933221      2.157218
      9.599994    170.886512      2.161546
      9.649996    171.837859      2.165685
      9.699998    172.805767      2.169777
      9.750000    173.768438      2.173765
      9.800003    174.734331      2.177842
      9.850005    175.694579      2.182122
      9.900006    176.653408      2.186340
      9.950009    177.616453      2.190442
     10.000011    178.574137      2.194621
     10.050014    179.533711      2.198505
     10.100016    180.500478      2.202550
     10.149988    181.467006      2.206495
     10.199989    182.428435      2.210473
     10.249991    183.299214      2.214298
     10.299994    184.078643      2.218045
     10.349996    184.774025      2.221662
     10.399999    185.402921      2.225222
     10.450001    185.975641      2.228365
     10.500002    186.489258      2.231865
     10.550005    186.955176      2.234832
     10.600007    187.373281      2.237441
     10.650009    187.739200      2.240156
     10.700012    188.079513      2.242477
     10.750014    188.387015      2.244627
     10.800016    188.651560      2.246501
     10.850018    188.893313      2.248432
     10.899990    189.105397      2.250353
     10.949992    189.295052      2.251959
     10.999995    189.477949      2.253466
     11.049997    189.640115      2.254639
     11.099998    189.779960      2.256183
     11.150001    189.918029      2.257329
     11.200003    190.036186      2.258543
     11.250005    190.146190      2.259453
     11.300008    190.242142      2.260271
     11.350010    190.329109      2.261252
     11.400011    190.404938      2.262196
     11.450014    190.475626      2.262985
     11.500016    190.543517      2.263999
     11.549988    190.599126      2.264546
     11.599990    190.656498      2.265344
     11.649992    190.702640      2.266062
     11.699994    190.745388      2.266586
     11.749997    190.774707      2.267179
     11.799999    190.802924      2.267653
     11.850001    190.839306      2.268262
     11.900004    190.859843      2.269054
     11.950005    190.884430      2.269523
     12.000007    190.897402      2.269884
     12.050010    190.924336      2.270148
     12.100012    190.944915      2.270446
     12.150015    190.957332      2.270471
     12.200017    190.986819      2.270859
     12.249988    190.995046      2.271208
     12.299990    191.014047      2.271523
     12.349992    190.920062      2.271379
     12.399995    190.745142      2.271310
     12.449997    190.483953      2.271370
     12.500000    190.159771      2.271424
     12.550001    189.768517      2.271473
     12.600003    189.316900      2.271578
     12.650006    188.821332      2.271550
     12.700008    188.280715      2.271403
     12.750010    187.692230      2.271088
     12.800013    187.071039      2.270621
     12.850014    186.411257      2.270079
     12.900017    185.720406      2.269774
     12.949988    185.000373      2.269316
     12.999991    184.254684      2.268965
     13.049993    183.493232      2.268466
     13.099994    182.712708      2.268079
     13.149997    181.909527      2.267668
     13.199999    181.099993      2.267238
     13.250002    180.268261      2.266668
     13.300004    179.423876      2.266277
     13.350006    178.580310      2.265742
     13.400008    177.713066      2.265016
     13.450010    176.837941      2.264302
     13.500012    175.956944      2.263598
     13.550015    175.071271      2.262781
     13.600017    174.176508      2.262046
     13.650020    173.277225      2.260897
     13.699990    172.375096      2.259984
     13.749992    171.459419      2.258735
     13.799994    170.540703      2.257611
     13.849997    169.626577      2.256295
     13.899999    168.706817      2.254988
     13.950001    167.780764      2.253873
     14.000004    166.854542      2.252625
     14.050005    165.910467      2.251379
     14.100007    164.975959      2.250015
     14.150010    164.036634      2.248847
     14.200012    163.091142      2.247553
     14.250015    162.154138      2.246449
     14.300017    161.216839      2.245272
     14.349988    160.271950      2.244090
     14.399990    159.317789      2.243088
     14.449992    158.364438      2.241637
     14.499995    157.421582      2.240209
     14.549997    156.467419      2.238862
     14.600000    155.511625      2.237346
     14.650001    154.561077      2.236102
     14.700003    153.605484      2.234617
     14.750006    152.650845      2.233464
     14.800008    151.695843      2.232670
     14.850010    150.742346      2.231650
     14.900013    149.790813      2.230183
     14.950014    148.843490      2.228863
     15.000017    147.888969      2.227674
