Shimadzu measurement
Filename
740Labor_aprilis_14_Al.dat
Identifier
2mN/s meres
Date 2016:4:14
Time 9:29
Indentsize=0 [æm]
 Time [s]         Load [mN]       Displ [æm] 
*****************************************************************

      0.050003     -0.019142     -0.000165
      0.100005     -0.023552      0.001701
      0.150007     -0.022638      0.004113
      0.200010     -0.021816      0.007443
      0.250011      0.074751      0.011600
      0.300013      0.246501      0.016684
      0.350016      0.499955      0.022603
      0.400018      0.819617      0.030981
      0.450021      1.200698      0.043282
      0.500022      1.637667      0.059359
      0.550024      2.120662      0.079992
      0.600027      2.662781      0.103933
      0.650029      3.245294      0.131827
      0.700001      3.867824      0.163158
      0.750003      4.517824      0.196422
      0.800005      5.194378      0.232341
      0.850007      5.912531      0.270589
      0.900009      6.644320      0.311298
      0.950012      7.402418      0.353186
      1.000014      8.182365      0.395707
      1.050016      8.967936      0.438553
      1.100018      9.783594      0.481204
      1.150020     10.608630      0.523863
      1.200023     11.445769      0.566406
      1.250025     12.298072      0.608662
      1.300027     13.165854      0.651026
      1.349999     14.042685      0.693549
      1.400000     14.920335      0.736519
      1.450003     15.803605      0.779464
      1.500005     16.701089      0.821899
      1.550008     17.599158      0.863692
      1.600010     18.497753      0.904907
      1.650012     19.412692      0.945601
      1.700014     20.322198      0.985888
      1.750016     21.241462      1.025747
      1.800018     22.171341      1.065466
      1.850021     23.101007      1.105180
      1.900023     24.035364      1.144707
      1.950026     24.963567      1.184371
      2.000027     25.903931      1.223792
      2.050028     26.837541      1.262993
      2.100000     27.766292      1.302120
      2.150003     28.707761      1.341363
      2.200005     29.661285      1.379977
      2.250007     30.599414      1.418392
      2.300010     31.539557      1.456139
      2.350011     32.479681      1.493408
      2.400013     33.422841      1.530245
      2.450016     34.369342      1.566695
      2.500018     35.310916      1.602857
      2.550021     36.277963      1.638455
      2.600023     37.216666      1.673849
      2.650024     38.165260      1.708878
      2.700027     39.113601      1.743884
      2.750029     40.066596      1.778806
      2.800001     41.022560      1.813533
      2.850003     41.970819      1.847655
      2.900005     42.926793      1.881173
      2.950007     43.870179      1.914391
      3.000009     44.821767      1.947400
      3.050012     45.775244      1.980160
      3.100014     46.727368      2.012818
      3.150016     47.681327      2.045628
      3.200018     48.635107      2.078269
      3.250020     49.587504      2.110333
      3.300023     50.539878      2.141875
      3.350025     51.505048      2.173254
      3.400027     52.458542      2.204303
      3.449999     53.407630      2.234932
      3.500000     54.361298      2.265124
      3.550003     55.313595      2.295042
      3.600005     56.276864      2.325143
      3.650008     57.232920      2.354858
      3.700010     58.194079      2.384409
      3.750012     59.153119      2.413508
      3.800014     60.100484      2.442321
      3.850016     61.066029      2.470695
      3.900018     62.024132      2.498611
      3.950021     62.981642      2.526421
      4.000023     63.949603      2.554197
      4.050026     64.904388      2.581698
      4.100027     65.860131      2.609013
      4.149999     66.819788      2.636464
      4.200001     67.770762      2.663673
      4.250004     68.736503      2.690664
      4.300006     69.690510      2.717519
      4.350007     70.646164      2.744313
      4.400010     71.605131      2.770747
      4.450012     72.562197      2.796734
      4.500014     73.518772      2.822687
      4.550017     74.477958      2.848425
      4.600019     75.429728      2.874335
      4.650021     76.380316      2.899913
