Shimadzu measurement
Filename
742Labor_aprilis_14_Cu.dat
Identifier
2mN/s meres
Date 2016:4:14
Time 9:41
Indentsize=0 [æm]
 Time [s]         Load [mN]       Displ [æm] 
      8.400002    147.096252      1.868639
      8.450005    148.059443      1.875865
      8.500006    149.014816      1.882978
      8.550008    149.972310      1.890112
      8.600011    150.926830      1.897204
      8.650013    151.881114      1.904198
      8.699985    152.837016      1.911407
      8.749987    153.790714      1.918323
      8.799989    154.749752      1.924914
      8.849991    155.702608      1.931638
      8.899994    156.666382      1.938179
      8.949996    157.629605      1.944981
      8.999998    158.582567      1.952019
      9.050001    159.537890      1.959207
      9.100002    160.499612      1.966226
      9.150004    161.457936      1.972787
      9.200007    162.414423      1.978936
      9.250009    163.371088      1.985142
      9.300011    164.325472      1.991642
      9.350014    165.280854      1.998103
      9.399985    166.248122      2.004589
      9.449987    167.192516      2.011281
      9.499989    168.155388      2.017914
      9.549992    169.112917      2.024861
      9.599994    170.078454      2.031723
      9.649997    171.035329      2.038204
      9.699998    171.989292      2.044770
      9.750000    172.949178      2.050923
      9.800003    173.902799      2.057498
      9.850005    174.866650      2.063904
      9.900007    175.834215      2.070280
      9.950010    176.791084      2.076873
     10.000011    177.750535      2.083600
     10.050014    178.717802      2.090020
     10.099985    179.670741      2.096531
     10.149988    180.638251      2.103123
     10.199990    181.604226      2.109850
     10.249991    182.566379      2.116453
     10.299994    183.531194      2.123006
     10.349996    184.394035      2.129209
     10.399999    185.170592      2.135219
     10.450001    185.871325      2.140811
     10.500003    186.496490      2.146210
     10.550005    187.068905      2.151497
     10.600007    187.578586      2.156682
     10.650009    188.037298      2.161532
     10.700012    188.454411      2.166018
     10.750014    188.828593      2.169751
     10.799986    189.161694      2.173294
     10.849987    189.460875      2.176910
     10.899990    189.736851      2.180286
     10.949992    189.981568      2.183508
     10.999995    190.199372      2.186285
     11.049997    190.403940      2.188968
     11.099999    190.581948      2.191383
     11.150001    190.742765      2.193617
     11.200003    190.890553      2.195810
     11.250005    191.021730      2.198151
     11.300008    191.136128      2.200258
     11.350010    191.245800      2.201970
     11.400012    191.339622      2.203207
     11.450014    191.428334      2.204808
     11.499986    191.506954      2.206127
     11.549988    191.580154      2.207680
     11.599990    191.638099      2.209078
     11.649993    191.696353      2.210580
     11.699994    191.742678      2.211871
     11.749997    191.791085      2.213155
     11.799999    191.829768      2.214738
     11.850001    191.865193      2.215918
     11.900004    191.898296      2.217347
     11.950006    191.923206      2.218632
     12.000007    191.956002      2.219850
     12.050010    191.980634      2.221130
     12.100012    192.002194      2.222220
     12.150015    192.017324      2.223385
     12.199986    192.038877      2.224311
     12.249989    192.058884      2.225327
     12.299990    192.075060      2.226486
     12.349992    192.083514      2.227407
     12.399995    192.091123      2.228297
     12.449997    192.005807      2.229098
     12.500000    191.833195      2.229819
     12.550001    191.578967      2.230407
     12.600003    191.251282      2.231119
     12.650005    190.859319      2.231455
     12.700007    190.414388      2.231574
     12.750009    189.916292      2.231803
     12.800012    189.375841      2.232131
     12.850014    188.785674      2.231938
     12.899986    188.171514      2.231460
     12.949987    187.511957      2.230968
     12.999990    186.809712      2.230586
     13.049992    186.100175      2.230182
     13.099995    185.360883      2.229818
     13.149997    184.594200      2.229185
     13.199999    183.813241      2.228493
     13.250001    183.009669      2.227810
     13.300003    182.191238      2.227134
     13.350005    181.363095      2.226220
     13.400008    180.520720      2.225398
     13.450010    179.663703      2.224718
     13.500012    178.806938      2.224107
     13.550014    177.932088      2.223618
     13.599986    177.045844      2.222995
     13.649988    176.148736      2.222068
     13.699990    175.254668      2.221294
     13.749993    174.352349      2.220293
     13.799995    173.442603      2.219514
     13.849997    172.526175      2.218630
     13.899999    171.604952      2.218139
     13.950001    170.672091      2.217637
     14.000004    169.753168      2.217062
     14.050006    168.822377      2.216301
     14.100007    167.891279      2.215555
     14.150010    166.962348      2.215006
     14.200012    166.023158      2.214511
