Shimadzu measurement
Filename
758Labor_aprilis_14_45Mg.dat
Identifier
2mN/s meres
Date 2016:4:14
Time 11:10
Indentsize=0 [æm]
 Time [s]         Load [mN]       Displ [æm] 
      8.450004    148.877291      2.446719
      8.499975    149.832577      2.457457
      8.549978    150.785719      2.468587
      8.599980    151.743646      2.479458
      8.649983    152.696724      2.490280
      8.699984    153.658866      2.500996
      8.749986    154.612686      2.511006
      8.799989    155.563899      2.520870
      8.849991    156.520089      2.530603
      8.899993    157.474657      2.540460
      8.949996    158.431425      2.550431
      8.999997    159.390174      2.560442
      9.050000    160.345823      2.570123
      9.100002    161.304175      2.579691
      9.150004    162.266181      2.589339
      9.199976    163.222320      2.599305
      9.249978    164.181723      2.608884
      9.299980    165.134909      2.618360
      9.349982    166.103862      2.627865
      9.399985    167.069305      2.637335
      9.449987    168.018771      2.646956
      9.499989    168.986818      2.656653
      9.549992    169.944121      2.666662
      9.599993    170.904572      2.676342
      9.649995    171.862363      2.686518
      9.699998    172.822033      2.696410
      9.750000    173.785225      2.706166
      9.800003    174.738158      2.716168
      9.850004    175.701391      2.726329
      9.899976    176.661685      2.736390
      9.949978    177.616894      2.746238
      9.999981    178.585837      2.756017
     10.049983    179.546998      2.765794
     10.099985    180.506649      2.775937
     10.149987    181.482030      2.785919
     10.199989    182.444104      2.796064
     10.249991    183.410069      2.805987
     10.299994    184.280048      2.815345
     10.349996    185.063639      2.824256
     10.399998    185.763379      2.832764
     10.450000    186.399858      2.840176
     10.500002    186.972079      2.847153
     10.550005    187.479143      2.853371
     10.599976    187.945266      2.859395
     10.649979    188.367829      2.864816
     10.699981    188.732266      2.869573
     10.749983    189.067584      2.873977
     10.799985    189.371201      2.878184
     10.849987    189.641405      2.882092
     10.899990    189.887030      2.885671
     10.949992    190.101378      2.888648
     10.999994    190.300395      2.891815
     11.049996    190.478900      2.894421
     11.099998    190.641386      2.896706
     11.150001    190.783350      2.898885
     11.200003    190.918443      2.900784
     11.249975    191.037584      2.902860
     11.299977    191.147864      2.905033
     11.349978    191.239180      2.907050
     11.399981    191.318314      2.909171
     11.449983    191.396858      2.910713
     11.499986    191.468158      2.912162
     11.549988    191.529887      2.913771
     11.599989    191.584222      2.915037
     11.649992    191.633123      2.915870
     11.699994    191.682628      2.916804
     11.749996    191.727793      2.917705
     11.799999    191.761727      2.918821
     11.850001    191.800202      2.920069
     11.900003    191.831168      2.921376
     11.950005    191.852934      2.922308
     11.999977    191.871912      2.923147
     12.049979    191.892045      2.923780
     12.100012    191.909554      2.924289
     12.149983    191.928364      2.925113
     12.199985    191.943461      2.925915
     12.249987    191.957660      2.926393
     12.299989    191.965555      2.926824
     12.349991    191.973882      2.927089
     12.399994    191.884329      2.927816
     12.449996    191.706684      2.927982
     12.499998    191.441210      2.927887
     12.550000    191.109510      2.927680
     12.600002    190.717594      2.927676
     12.650005    190.271484      2.927490
     12.699976    189.772328      2.927201
     12.749979    189.226040      2.926940
     12.799981    188.639164      2.926461
     12.849983    188.015150      2.925725
     12.899985    187.353437      2.925368
     12.949987    186.673056      2.924924
     12.999990    185.960003      2.924952
     13.049992    185.216936      2.924855
     13.099994    184.446856      2.924341
     13.149996    183.669553      2.923633
     13.199998    182.864389      2.923241
     13.250001    182.051238      2.923071
     13.300003    181.214421      2.922735
     13.349975    180.367900      2.922250
     13.399977    179.520581      2.921629
     13.449978    178.653011      2.920888
     13.499981    177.777593      2.920465
     13.549983    176.889617      2.919901
     13.599986    175.997664      2.919577
     13.649988    175.105794      2.919285
     13.699989    174.199959      2.918717
     13.749992    173.295596      2.918084
     13.799994    172.377907      2.917331
     13.849996    171.472030      2.916898
     13.899999    170.559083      2.916447
     13.950001    169.634280      2.915735
     14.000003    168.701247      2.915217
     14.050005    167.761419      2.914446
     14.099977    166.836837      2.913935
     14.149979    165.910107      2.913414
     14.199981    164.976561      2.912884
     14.249984    164.032608      2.912468
     14.299985    163.099432      2.912215
     14.349988    162.152760      2.911805
     14.399990    161.212252      2.911253
     14.449992    160.267528      2.910695
     14.499995    159.319007      2.910010
     14.549997    158.375616      2.909332
     14.599998    157.428906      2.908783
     14.650001    156.480430      2.907983
     14.700003    155.535248      2.907142
     14.749975    154.590588      2.906568
     14.799977    153.643957      2.905990
     14.849980    152.687617      2.905470
     14.899981    151.739630      2.905002
     14.949984    150.787563      2.904275
     14.999986    149.838539      2.903682
     15.049988    148.886148      2.903027
     15.099991    147.927067      2.901949
     15.149993    146.977222      2.901467
     15.199994    146.017990      2.901155
