Shimadzu measurement
Filename
760Labor_aprilis_14_73Mg.dat
Identifier
2mN/s meres
Date 2016:4:14
Time 11:34
Indentsize=0 [æm]
 Time [s]         Load [mN]       Displ [æm] 
*****************************************************************

      0.050001     -0.005628     -0.000654
      0.100003      0.008228      0.001686
      0.150006      0.000557      0.005624
      0.200008     -0.008178      0.010938
      0.250010      0.082228      0.017308
      0.300013      0.258200      0.023956
      0.350014      0.514842      0.031038
      0.399986      0.840427      0.039670
      0.449988      1.224396      0.050979
      0.499991      1.665185      0.064148
      0.549993      2.157722      0.079051
      0.599996      2.688897      0.094723
      0.649997      3.267664      0.111757
      0.699999      3.888654      0.129408
      0.750002      4.534826      0.147368
      0.800004      5.217701      0.165791
      0.850006      5.922011      0.184874
      0.900009      6.658431      0.204063
      0.950010      7.418256      0.223835
      1.000013      8.197316      0.243889
      1.050015      8.983919      0.264134
      1.099987      9.800507      0.283820
      1.149989     10.616003      0.303551
      1.199991     11.446387      0.323507
      1.249993     12.295663      0.343908
      1.299995     13.153396      0.364223
      1.349998     14.034611      0.384032
      1.400000     14.922921      0.403447
      1.450002     15.796863      0.423178
      1.500005     16.691445      0.442951
      1.550006     17.591786      0.462578
      1.600008     18.500360      0.481768
      1.650011     19.415735      0.500198
      1.700013     20.335398      0.518861
      1.749985     21.261364      0.537183
      1.799986     22.179573      0.555321
      1.849989     23.107281      0.573172
      1.899991     24.041097      0.590457
      1.949994     24.960878      0.607968
      1.999996     25.896715      0.625314
      2.049998     26.829302      0.643062
      2.100000     27.773001      0.661050
      2.150002     28.718158      0.678703
      2.200004     29.659132      0.695568
      2.250007     30.602445      0.712333
      2.300009     31.544813      0.729314
      2.350011     32.489991      0.746305
      2.400013     33.454179      0.762758
      2.449985     34.409839      0.778785
      2.499987     35.354774      0.794797
      2.549989     36.301042      0.810734
      2.599992     37.244238      0.826603
      2.649994     38.198706      0.842411
      2.699996     39.158437      0.857981
      2.749998     40.100321      0.873275
      2.800000     41.053609      0.888444
      2.850003     42.009226      0.903561
      2.900005     42.954732      0.918753
      2.950007     43.901514      0.934074
      3.000009     44.850054      0.949023
      3.050011     45.804450      0.963819
      3.100014     46.750689      0.978174
      3.149985     47.698130      0.992924
      3.199988     48.653367      1.007542
      3.249989     49.600973      1.022163
      3.299991     50.553917      1.036909
      3.349994     51.509835      1.051462
      3.399996     52.462936      1.066268
      3.449999     53.423878      1.080998
      3.500001     54.376618      1.095354
      3.550002     55.329911      1.109372
      3.600005     56.282480      1.122966
      3.650007     57.229515      1.136603
      3.700009     58.184387      1.149854
      3.750012     59.146923      1.163428
      3.800014     60.094384      1.176803
      3.849985     61.052080      1.190246
      3.899987     61.998847      1.203686
      3.949990     62.954699      1.217126
      3.999992     63.910792      1.230320
      4.049994     64.860389      1.243049
      4.099997     65.819397      1.255543
      4.149998     66.771618      1.267764
      4.200001     67.731767      1.279923
      4.250003     68.692949      1.292086
      4.300005     69.634918      1.304132
      4.350008     70.592555      1.315950
      4.400010     71.547203      1.327318
      4.450011     72.497331      1.338893
      4.500014     73.443389      1.350408
      4.549986     74.397382      1.362115
      4.599988     75.351192      1.373933
      4.649989     76.307279      1.385668
