Shimadzu measurement
Filename
751Labor_aprilis_14_047Mg.dat
Identifier
2mN/s meres
Date 2016:4:14
Time 10:25
Indentsize=0 [æm]
 Time [s]         Load [mN]       Displ [æm] 
*****************************************************************

      0.050002     -0.001113      0.003334
      0.100005      0.010092      0.006944
      0.150007      0.013462      0.003175
      0.200009      0.019548      0.005458
      0.250011      0.106203      0.012397
      0.300013      0.278188      0.022792
      0.350015      0.532463      0.033429
      0.400018      0.856527      0.043918
      0.449990      1.245232      0.053907
      0.499992      1.689672      0.063081
      0.549993      2.175730      0.071947
      0.599996      2.719994      0.081575
      0.649998      3.309322      0.092621
      0.700001      3.929439      0.106590
      0.750003      4.583982      0.122641
      0.800004      5.264014      0.141299
      0.850007      5.980414      0.161998
      0.900009      6.717340      0.184899
      0.950011      7.470906      0.209599
      1.000014      8.254097      0.235919
      1.050016      9.049303      0.263391
      1.100017      9.861425      0.291900
      1.150020     10.676565      0.321098
      1.199992     11.511510      0.351283
      1.249994     12.358178      0.382233
      1.299996     13.209902      0.413751
      1.349999     14.080825      0.444863
      1.400000     14.961092      0.475733
      1.450003     15.853433      0.506812
      1.500005     16.755417      0.538567
      1.550007     17.647771      0.570321
      1.600010     18.547937      0.602012
      1.650012     19.461847      0.634257
      1.700013     20.373480      0.666024
      1.750016     21.294658      0.698033
      1.800018     22.214052      0.730258
      1.849990     23.137334      0.762741
      1.899992     24.068386      0.795210
      1.949995     24.994835      0.827178
      1.999996     25.920804      0.858269
      2.049998     26.860379      0.888754
      2.100001     27.796330      0.919242
      2.150003     28.732071      0.950282
      2.200006     29.673727      0.981514
      2.250007     30.613992      1.013224
      2.300009     31.558498      1.044327
      2.350012     32.501329      1.075432
      2.400014     33.448145      1.105318
      2.450016     34.401599      1.135268
      2.500019     35.341496      1.164359
      2.549990     36.295437      1.192922
      2.599992     37.243097      1.220764
      2.649994     38.191207      1.248142
      2.699997     39.145216      1.275406
      2.749999     40.092326      1.302447
      2.800002     41.048486      1.329042
      2.850003     41.997533      1.355540
      2.900004     42.948112      1.382258
      2.950007     43.901291      1.408745
      3.000009     44.853148      1.434903
      3.050011     45.803814      1.460765
      3.100014     46.764396      1.486725
      3.150016     47.713150      1.512654
      3.200017     48.671400      1.538797
      3.250020     49.624768      1.564706
      3.299992     50.578016      1.590344
      3.349994     51.531156      1.615432
      3.399996     52.488470      1.640331
      3.449999     53.450153      1.665181
      3.500000     54.397455      1.689011
      3.550003     55.348295      1.712350
      3.600005     56.290723      1.735553
      3.650007     57.248162      1.758816
      3.700010     58.196528      1.782377
      3.750012     59.150157      1.806084
      3.800013     60.105471      1.829862
      3.850016     61.060470      1.852544
      3.900018     62.018847      1.874606
      3.949990     62.974161      1.896049
      3.999992     63.934043      1.917666
      4.049995     64.893764      1.939503
      4.099996     65.855170      1.961475
      4.149998     66.809548      1.983508
      4.200001     67.760043      2.005169
      4.250003     68.718028      2.026434
      4.300006     69.672990      2.047769
      4.350008     70.626452      2.069474
      4.400009     71.584056      2.090961
      4.450012     72.531960      2.111582
      4.500014     73.487005      2.132887
      4.550016     74.446033      2.154136
      4.600019     75.408038      2.174909
      4.649990     76.358071      2.195130
